CODGEO,LIBGEO,Code département,annee,type,taux_brut_de_mortalit___pour_mille_
29005,Baye,29,2017,Taux brut de mortalité (pour mille),
29006,Bénodet,29,2017,Taux brut de mortalité (pour mille),
29007,Berrien,29,2017,Taux brut de mortalité (pour mille),
29008,Beuzec-Cap-Sizun,29,2017,Taux brut de mortalité (pour mille),
29010,Bodilis,29,2017,Taux brut de mortalité (pour mille),
29011,Bohars,29,2017,Taux brut de mortalité (pour mille),
29012,Bolazec,29,2017,Taux brut de mortalité (pour mille),
29013,Botmeur,29,2017,Taux brut de mortalité (pour mille),
29014,Botsorhel,29,2017,Taux brut de mortalité (pour mille),
29015,Bourg-Blanc,29,2017,Taux brut de mortalité (pour mille),
29016,Brasparts,29,2017,Taux brut de mortalité (pour mille),
29017,Brélès,29,2017,Taux brut de mortalité (pour mille),
29018,Brennilis,29,2017,Taux brut de mortalité (pour mille),
29019,Brest,29,2017,Taux brut de mortalité (pour mille),
29020,Briec,29,2017,Taux brut de mortalité (pour mille),
29021,Plounéour-Brignogan-plages,29,2017,Taux brut de mortalité (pour mille),
29022,Camaret-sur-Mer,29,2017,Taux brut de mortalité (pour mille),
29023,Carantec,29,2017,Taux brut de mortalité (pour mille),
29024,Carhaix-Plouguer,29,2017,Taux brut de mortalité (pour mille),
29025,Cast,29,2017,Taux brut de mortalité (pour mille),
29026,Châteaulin,29,2017,Taux brut de mortalité (pour mille),
29027,Châteauneuf-du-Faou,29,2017,Taux brut de mortalité (pour mille),
29028,Cléden-Cap-Sizun,29,2017,Taux brut de mortalité (pour mille),
29029,Cléden-Poher,29,2017,Taux brut de mortalité (pour mille),
29030,Cléder,29,2017,Taux brut de mortalité (pour mille),
29031,Clohars-Carnoët,29,2017,Taux brut de mortalité (pour mille),
29032,Clohars-Fouesnant,29,2017,Taux brut de mortalité (pour mille),
29033,Le Cloître-Pleyben,29,2017,Taux brut de mortalité (pour mille),
29034,Le Cloître-Saint-Thégonnec,29,2017,Taux brut de mortalité (pour mille),
29035,Coat-Méal,29,2017,Taux brut de mortalité (pour mille),
29036,Collorec,29,2017,Taux brut de mortalité (pour mille),
29037,Combrit,29,2017,Taux brut de mortalité (pour mille),
29038,Commana,29,2017,Taux brut de mortalité (pour mille),
29039,Concarneau,29,2017,Taux brut de mortalité (pour mille),
29040,Le Conquet,29,2017,Taux brut de mortalité (pour mille),
29041,Coray,29,2017,Taux brut de mortalité (pour mille),
29042,Crozon,29,2017,Taux brut de mortalité (pour mille),
